hospital_id,state,district,city,hospital_name,latitude,longitude,total_beds,occupied_beds,available_beds,icu_beds,available_icu_beds,emergency_beds,available_emergency_beds,emergency_24x7,accepts_referral,ambulance,oxygen_support,ventilator,blood_bank,cardiology,neurology,nephrology,pulmonology,orthopedics,general_medicine,general_surgery,trauma_unit,burn_unit,ct_scan,mri,xray,ultrasound,ecg,dialysis,blood_test,cbc,troponin_test,dengue_ns1_test,malaria_test,blood_glucose_test,hba1c_test,kidney_function_test,pulmonary_function_test,blood_culture,lactate_test,stool_test
GH00077,Punjab,Patiala,Patiala,Government Patiala General Hospital,30.404193,76.317531,808,528,280,65,10,67,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes
GH00078,West Bengal,Siliguri,Siliguri,Integrated Siliguri District Hospital,26.743272,88.428194,460,409,51,43,13,31,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
GH00079,Uttar Pradesh,Meerut,Meerut,District Meerut Medical College Hospital,28.909453,77.688478,296,203,93,36,10,29,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
GH00080,Punjab,Hoshiarpur,Hoshiarpur,Government Hoshiarpur District Hospital,31.489092,75.87474,332,258,74,22,11,33,13,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
GH00081,Maharashtra,Mumbai,Mumbai,District Mumbai District Hospital,19.040123,72.938034,814,471,343,92,15,46,23,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes
GH00082,Rajasthan,Udaipur,Udaipur,Civil Udaipur General Hospital,24.646754,73.704231,551,449,102,37,18,37,4,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No
GH00083,Punjab,Hoshiarpur,Hoshiarpur,District Hoshiarpur General Hospital,31.569647,75.929677,603,338,265,64,29,36,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
GH00084,Maharashtra,Mumbai,Mumbai,Government Mumbai Hospital,19.07223,72.833865,671,548,123,74,23,69,11,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
GH00085,Tamil Nadu,Salem,Salem,State Salem General Hospital,11.584322,78.147781,412,351,61,46,4,48,21,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
GH00086,Uttar Pradesh,Agra,Agra,State Agra Hospital,27.203322,78.082668,260,191,69,17,8,15,2,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes
GH00087,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,Civil Tiruchirappalli District Hospital,10.732356,78.728962,133,95,38,10,3,13,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
GH00088,Punjab,Bathinda,Bathinda,Government Bathinda District Hospital,30.180898,74.989339,906,858,48,101,9,96,36,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GH00089,Gujarat,Ahmedabad,Ahmedabad,Regional Ahmedabad Medical College Hospital,22.981957,72.568852,763,457,306,107,2,45,22,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
GH00090,Delhi,South Delhi,South Delhi,Regional South Delhi District Hospital,28.465453,77.334568,549,337,212,53,18,54,19,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No
GH00091,Karnataka,Belagavi,Belagavi,Civil Belagavi General Hospital,15.883576,74.574683,182,167,15,9,2,18,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
GH00092,Maharashtra,Mumbai,Mumbai,District Mumbai Medical College Hospital,19.032588,72.899198,790,689,101,85,42,94,4,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
GH00093,Maharashtra,Thane,Thane,District Thane Medical College Hospital,19.168955,73.045018,581,555,26,66,16,36,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
GH00094,Gujarat,Rajkot,Rajkot,District Rajkot General Hospital,22.235285,70.733241,456,332,124,37,16,50,15,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
GH00095,Gujarat,Rajkot,Rajkot,State Rajkot General Hospital,22.259787,70.828288,933,855,78,97,20,52,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No
GH00096,West Bengal,Kolkata,Kolkata,Civil Kolkata Hospital,22.509003,88.366117,773,663,110,74,34,48,13,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
GH00097,Rajasthan,Kota,Kota,Integrated Kota General Hospital,25.26804,75.786627,878,465,413,61,23,100,22,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No
GH00098,Tamil Nadu,Chennai,Chennai,District Chennai Medical College Hospital,13.004645,80.298543,826,494,332,66,33,73,32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
GH00099,Uttar Pradesh,Kanpur,Kanpur,Civil Kanpur Hospital,26.3807,80.334892,763,459,304,76,20,65,16,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
GH00100,Gujarat,Rajkot,Rajkot,Civil Rajkot Medical College Hospital,22.332064,70.835261,567,565,2,36,12,64,0,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
GH00101,Delhi,New Delhi,New Delhi,State New Delhi General Hospital,28.54872,77.248741,448,425,23,45,23,31,7,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
GH00102,Rajasthan,Ajmer,Ajmer,Integrated Ajmer General Hospital,26.501577,74.709134,986,569,417,93,17,73,2,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
GH00103,Karnataka,Hubballi,Hubballi,Civil Hubballi District Hospital,15.332867,75.124421,990,591,399,146,43,89,31,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No
GH00104,Gujarat,Ahmedabad,Ahmedabad,State Ahmedabad General Hospital,22.994779,72.548108,822,606,216,72,27,69,33,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GH00105,Delhi,West Delhi,West Delhi,Regional West Delhi District Hospital,28.59822,77.179637,990,546,444,136,12,56,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GH00106,Bihar,Gaya,Gaya,Civil Gaya Medical College Hospital,24.734255,85.030932,176,148,28,22,7,12,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
GH00107,Gujarat,Ahmedabad,Ahmedabad,State Ahmedabad General Hospital,23.004552,72.619966,424,372,52,51,2,35,1,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
GH00108,Bihar,Purnia,Purnia,Government Purnia District Hospital,25.69795,87.524019,332,189,143,31,13,34,14,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
GH00109,Tamil Nadu,Coimbatore,Coimbatore,Integrated Coimbatore District Hospital,10.987012,76.91444,129,69,60,10,5,10,3,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
GH00110,Gujarat,Surat,Surat,Government Surat General Hospital,21.202032,72.810036,679,431,248,45,21,62,7,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes
GH00111,Rajasthan,Bikaner,Bikaner,Government Bikaner General Hospital,28.008691,73.252713,697,421,276,51,6,47,16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes
GH00112,Bihar,Begusarai,Begusarai,State Begusarai Medical College Hospital,25.422628,86.081062,175,143,32,25,4,12,3,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
GH00113,Maharashtra,Nashik,Nashik,State Nashik Medical College Hospital,20.015052,73.821742,493,464,29,48,17,37,8,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No
GH00114,Rajasthan,Udaipur,Udaipur,Integrated Udaipur District Hospital,24.510204,73.776079,122,114,8,14,3,10,0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
GH00115,Bihar,Begusarai,Begusarai,State Begusarai Medical College Hospital,25.375401,86.067949,721,540,181,51,20,67,26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
GH00116,Punjab,Bathinda,Bathinda,Integrated Bathinda Hospital,30.247001,74.957386,416,409,7,39,2,31,12,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes
GH00117,Punjab,Patiala,Patiala,State Patiala General Hospital,30.296572,76.395326,279,190,89,17,1,31,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
GH00118,Karnataka,Belagavi,Belagavi,State Belagavi Medical College Hospital,15.909007,74.544515,363,304,59,53,18,37,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes
GH00119,Punjab,Amritsar,Amritsar,District Amritsar Medical College Hospital,31.652421,74.937997,872,551,321,118,13,84,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
GH00120,Karnataka,Mangaluru,Mangaluru,District Mangaluru General Hospital,12.837165,74.908297,114,73,41,11,3,10,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes
GH00121,Maharashtra,Thane,Thane,Civil Thane District Hospital,19.193242,73.031631,210,191,19,15,8,19,2,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
GH00122,West Bengal,Asansol,Asansol,Government Asansol Hospital,23.739368,86.92262,750,612,138,105,34,71,29,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes
GH00123,Delhi,New Delhi,New Delhi,District New Delhi District Hospital,28.53563,77.261248,604,361,243,36,1,35,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
GH00124,West Bengal,Asansol,Asansol,Civil Asansol Medical College Hospital,23.692135,86.912857,524,312,212,69,9,60,22,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
GH00125,Bihar,Darbhanga,Darbhanga,Government Darbhanga General Hospital,26.099995,85.916826,555,397,158,75,32,65,10,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
GH00126,Karnataka,Mangaluru,Mangaluru,District Mangaluru General Hospital,12.901169,74.802913,382,239,143,56,1,41,19,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
GH00127,Uttar Pradesh,Lucknow,Lucknow,District Lucknow District Hospital,26.848955,80.915555,349,206,143,44,16,19,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GH00128,Uttar Pradesh,Agra,Agra,Government Agra District Hospital,27.122336,77.95545,892,521,371,114,19,44,18,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
GH00129,Delhi,West Delhi,West Delhi,State West Delhi Medical College Hospital,28.665836,77.10073,212,190,22,28,12,10,4,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GH00130,Rajasthan,Udaipur,Udaipur,District Udaipur Medical College Hospital,24.531219,73.724019,371,198,173,23,6,32,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes
GH00131,Tamil Nadu,Salem,Salem,State Salem Hospital,11.691703,78.109303,562,538,24,40,1,29,6,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes
GH00132,Tamil Nadu,Chennai,Chennai,District Chennai General Hospital,13.036351,80.313158,967,688,279,89,39,81,13,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
GH00133,Punjab,Mohali,Mohali,State Mohali Medical College Hospital,30.701165,76.786518,167,99,68,12,1,15,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
GH00134,Gujarat,Gandhinagar,Gandhinagar,Regional Gandhinagar District Hospital,23.279642,72.683651,564,540,24,62,25,59,27,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
GH00135,Karnataka,Mysuru,Mysuru,Civil Mysuru General Hospital,12.256517,76.561464,333,271,62,27,7,25,2,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
GH00136,Punjab,Patiala,Patiala,Civil Patiala District Hospital,30.360983,76.327432,781,520,261,68,25,76,8,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
GH00137,Punjab,Mohali,Mohali,District Mohali Hospital,30.631253,76.717601,542,320,222,67,11,57,12,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
GH00138,Bihar,Darbhanga,Darbhanga,Integrated Darbhanga Hospital,26.093472,85.905327,520,441,79,71,9,57,6,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes
GH00139,Bihar,Bhagalpur,Bhagalpur,Regional Bhagalpur District Hospital,25.182792,86.966879,460,256,204,49,19,27,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No
GH00140,Uttar Pradesh,Kanpur,Kanpur,State Kanpur District Hospital,26.495255,80.296231,217,205,12,16,5,23,4,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
GH00141,Rajasthan,Ajmer,Ajmer,Integrated Ajmer Hospital,26.440712,74.567638,723,697,26,96,31,37,11,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GH00142,Maharashtra,Nagpur,Nagpur,State Nagpur Hospital,21.127673,79.016384,285,178,107,30,3,15,8,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GH00143,Punjab,Bathinda,Bathinda,Regional Bathinda Medical College Hospital,30.170336,74.922802,485,349,136,46,18,36,8,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
GH00144,Rajasthan,Ajmer,Ajmer,District Ajmer Hospital,26.517489,74.571538,259,169,90,32,15,25,9,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
GH00145,Tamil Nadu,Salem,Salem,Civil Salem General Hospital,11.692373,78.12936,524,401,123,37,3,30,2,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
GH00146,Punjab,Patiala,Patiala,Integrated Patiala General Hospital,30.357417,76.385008,639,476,163,34,5,75,35,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes
GH00147,Bihar,Muzaffarpur,Muzaffarpur,State Muzaffarpur Medical College Hospital,26.159678,85.457087,885,512,373,111,38,64,32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No
GH00148,Tamil Nadu,Salem,Salem,Government Salem Medical College Hospital,11.692951,78.215078,489,380,109,58,13,43,1,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
GH00149,West Bengal,Kolkata,Kolkata,Civil Kolkata Hospital,22.600073,88.40059,546,282,264,52,24,60,12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
GH00150,Gujarat,Gandhinagar,Gandhinagar,Civil Gandhinagar General Hospital,23.272992,72.694057,396,227,169,35,8,24,3,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes
GH00151,Tamil Nadu,Madurai,Madurai,District Madurai General Hospital,9.853782,78.154594,964,536,428,71,11,83,17,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes
GH00152,Maharashtra,Aurangabad,Aurangabad,State Aurangabad Medical College Hospital,19.836007,75.414029,441,419,22,29,12,38,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
GH00153,West Bengal,Durgapur,Durgapur,Integrated Durgapur Medical College Hospital,23.481464,87.352238,341,196,145,22,8,21,9,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
